N,M_PN,abs_diff_from_limit,gap_from_previous,K,U,Q,R
790,1.25508194750468515702871098206054363349435628246118120310653580398163454698404509609988868560500129267264052827226134978,3.520902e-04,5.350701e-04,52,686,104,0
792,1.25555227771271838305807394134365154675801976695007443703621402206022491990185202790410065280642882643871592331647453277,1.182400e-04,4.703302e-04,53,686,104,2
794,1.25546052776271222760534690751679244577769074724716364305011462912256572756684140669472991092320089128636898646861931152,2.649004e-05,9.174995e-05,54,686,108,0
796,1.25544554470976167160076766320203411671841369099100706853514627560104944559474879767595279941845303593095407254487503557,1.150698e-05,1.498305e-05,53,690,104,2
798,1.25560455413388382010446650860896367582221297217322658965452696202530912449119357310864314839685121061356904626384323464,1.705164e-04,1.590094e-04,54,690,108,0
800,1.25530610629317475429253568981617124790449965728259184202220637662843666576450585434079103067813391249791849727698087016,1.279314e-04,2.984478e-04,53,694,104,2
802,1.25561988874406773206725276236419837332182690170647614214907721963476017815948539305316859585703718183182965255313352237,1.858510e-04,3.137825e-04,54,694,108,0
804,1.25513977954406679153186504174651741430615623780237782027768351416925353512351345423354231598997987750987433119843260169,2.942582e-04,4.801092e-04,53,698,104,2
806,1.25557008826045864527552772691294438784678978064082797824173352359239022159515196364928895117427166200441750692732218865,1.360505e-04,4.303087e-04,54,698,108,0
808,1.25537005727148613629332547625083511631736961146690628917233089378901200108152354886316450159092389418214866101298726996,6.398046e-05,2.000310e-04,55,698,108,2
810,1.25547606134797024326646399563816096054889623337655181441918801907502481339915851504720825805301003839201782426715555150,4.202362e-05,1.060041e-04,54,702,108,0
812,1.25557991642666205385092695070145045475395569740594248105605634532864345172953971843084881224055260589754700780848516040,1.458787e-04,1.038551e-04,55,702,108,2
814,1.25534825509746905455115418699968231202116637735008669172078758125702692639410137166271705907069377159942952094178861291,8.578263e-05,2.316613e-04,54,706,108,0
816,1.25561825555571134752477259274266114784076387106851485816198093646301188970309805355488356357431610700413798569539270752,1.842178e-04,2.700005e-04,55,706,108,2
818,1.25519298629888706994790445436847698596520268323649490352138059101324666098983803946274501853958767698023708067042339319,2.410514e-04,4.252693e-04,54,710,108,0
820,1.25558391814044739027266120144466778633220273283025535247144189620187528022873829389887773427676158435365142625757773456,1.498804e-04,3.909318e-04,55,710,108,2
822,1.25519486126994517947755651900413362661346529544461518334858885771688836292069543310304537348083108562636695087275235269,2.391765e-04,3.890569e-04,56,710,112,0
824,1.25550262602634666599603781199445926549680730337757125187287453751615608531641044488424948622221301156704383394214039449,6.858830e-05,3.077648e-04,55,714,108,2
826,1.25554692532051419924673113347918250217700639636764054486865679706351962491319184869023114237110104979510167022012213525,1.128876e-04,4.429929e-05,56,714,112,0
828,1.25538629027601213714582439735361921084915478698504823718869434321245079449216902726577794503436817346097582640434138239,4.774745e-05,1.606350e-04,55,718,108,2
830,1.25561191540163540769897457478072995322466066790222659498233449583977347757098153196884151395071910368586208061715403573,1.778777e-04,2.256251e-04,56,718,112,0
832,1.25524182801441546700908883034575331240835578012440110122743060050174875506549921244938665206306098983862326692906554157,1.922097e-04,3.700874e-04,55,722,108,2
834,1.25559381948344217721286065529806783511154680733765725227771885654179935484685682472260457635445438954289933538623218462,1.597818e-04,3.519915e-04,56,722,112,0
836,1.25507380209138327107731336127995459748120012370003741037338910161374230662612218476901870581022445852394757489588669518,3.602356e-04,5.200174e-04,55,726,108,2
838,1.25552538627526678696554668738292101629538439601751990917900067247818088605512482901478504256082836856139883689222635039,9.134855e-05,4.515842e-04,56,726,112,0
840,1.25550295566312035562854422984133135262091735387717960480653889550888828226401351575202692375854042112729304094093599629,6.891794e-05,2.243061e-05,57,726,112,2
842,1.25542041136748354712434272691686346853368024019869245894292918101310674090818611885669755498162051761000337732103154024,1.362636e-05,8.254430e-05,56,730,112,0
844,1.25560052097527206713484103758768681556222515176706690929345685233705538489448302400715637510808306255414665719078611640,1.664832e-04,1.801096e-04,57,730,112,2
846,1.25528654053736422839123285803701319253903164654087897248454052105330882637346382550013294740189245364551800505835499481,1.474972e-04,3.139804e-04,56,734,112,0
848,1.25559979610027261253558997728436836792249435408319267186630090579611554254719493175929388661250848981771783977005526335,1.657584e-04,3.132556e-04,57,734,112,2
850,1.25512867683348657056757957020321482075145348331203926135988411671318439771631505222953870908058862896941949212774995677,3.053609e-04,4.711193e-04,56,738,112,0
852,1.25554446083252618319037888843735249031920364615305253585811343880611428781382392128072284708373823558375969425591321770,1.104231e-04,4.157840e-04,57,738,112,2
